EntityID,ProductOrPath,Processor,StartHour,EndHour
983,Sapphire,Fit-Check,24.0,0.0
983,Sapphire,Bonded,24.0,72.0
983,Sapphire,Vacuum,72.0,120.0
983,Sapphire,Post Bond Clean,120.0,120.0
983,Sapphire,Pre-CICRW,1464.0,1512.0
983,Sapphire,Frontside Overcoating,1512.0,168.0
983,Sapphire,Clean & Classify,168.0,696.0
983,Sapphire,MAC,1632.0,1632.0
983,Sapphire,LastTouchups,1632.0,1632.0
983,Sapphire,Cure Times.ShipCureDate,1632.0,1848.0
984,Sapphire,Fit-Check,168.0,0.0
984,Sapphire,Bonded,24.0,72.0
984,Sapphire,Vacuum,72.0,120.0
984,Sapphire,Post Bond Clean,120.0,120.0
984,Sapphire,Clean & Classify,168.0,504.0
984,Sapphire,MAC,1536.0,1560.0
984,Sapphire,LastTouchups,1560.0,1560.0
984,Sapphire,Cure Times.ShipCureDate,1560.0,1728.0
985,Sapphire,Fit-Check,168.0,0.0
985,Sapphire,Bonded,24.0,72.0
985,Sapphire,Vacuum,72.0,120.0
985,Sapphire,Post Bond Clean,120.0,120.0
985,Sapphire,Pre-CICRW,1512.0,1536.0
985,Sapphire,Frontside Overcoating,1536.0,168.0
985,Sapphire,Clean & Classify,168.0,720.0
985,Sapphire,MAC,1656.0,1704.0
985,Sapphire,LastTouchups,1704.0,1704.0
985,Sapphire,Cure Times.ShipCureDate,1704.0,1848.0
986,Sapphire,Fit-Check,168.0,72.0
986,Sapphire,Bonded,72.0,144.0
986,Sapphire,Vacuum,144.0,168.0
986,Sapphire,Post Bond Clean,168.0,168.0
986,Sapphire,Clean & Classify,312.0,384.0
986,Sapphire,MAC,1536.0,1536.0
986,Sapphire,LastTouchups,1536.0,1536.0
986,Sapphire,Cure Times.ShipCureDate,1536.0,1704.0
987,Sapphire,Fit-Check,168.0,48.0
987,Sapphire,Bonded,72.0,144.0
987,Sapphire,Vacuum,144.0,168.0
987,Sapphire,Post Bond Clean,168.0,168.0
987,Sapphire,Clean & Classify,312.0,504.0
987,Sapphire,MAC,1536.0,1560.0
987,Sapphire,LastTouchups,1560.0,1536.0
987,Sapphire,Cure Times.ShipCureDate,1536.0,1704.0
988,Sapphire,Fit-Check,168.0,48.0
988,Sapphire,Bonded,72.0,144.0
988,Sapphire,Vacuum,144.0,168.0
988,Sapphire,Post Bond Clean,168.0,168.0
988,Sapphire,Clean & Classify,312.0,504.0
988,Sapphire,MAC,1536.0,1536.0
988,Sapphire,LastTouchups,1536.0,1536.0
988,Sapphire,Cure Times.ShipCureDate,1536.0,672.0
989,Sapphire,Fit-Check,312.0,168.0
989,Sapphire,Bonded,288.0,288.0
989,Sapphire,Vacuum,288.0,312.0
989,Sapphire,Post Bond Clean,312.0,312.0
989,Sapphire,Clean & Classify,360.0,528.0
989,Sapphire,MAC,1536.0,1560.0
989,Sapphire,LastTouchups,1560.0,1536.0
989,Sapphire,Cure Times.ShipCureDate,1536.0,1704.0
