SourceRow,Product,StageName,DeclaredPos,Start,End,DurationHours,DurationDays,JobStart,ProdTimeHours,UnitIndex,Fitted
988,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2023-12-13 00:00:00.000000,-864.0,-36.0,2023-11-17,624.0,1,1222.6437594129795
995,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2023-12-16 00:00:00.000000,-792.0,-33.0,2023-11-27,456.0,2,1264.9840230310929
997,Sapphire,Cure Times.ShipCureDate,28,2024-01-19,2023-12-18 00:00:00.000000,-768.0,-32.0,2023-11-27,504.0,3,1290.42798316092
1003,Sapphire,Cure Times.ShipCureDate,28,2024-01-24,2023-12-19 00:00:00.000000,-864.0,-36.0,2023-11-29,480.0,4,1308.7905337955635
1011,Sapphire,Cure Times.ShipCureDate,28,2024-01-23,2023-12-22 00:00:00.000000,-768.0,-32.0,2023-12-02,480.0,5,1323.213386422527
1022,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2023-12-28 00:00:00.000000,-1488.0,-62.0,2023-12-06,528.0,6,1335.1156205586324
1028,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-10 00:00:00.000000,-1176.0,-49.0,2023-12-08,792.0,7,1345.2623023945685
1036,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-15 00:00:00.000000,-1032.0,-43.0,2023-12-12,816.0,8,1354.1140679772627
1037,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-16 00:00:00.000000,-1008.0,-42.0,2023-12-12,840.0,9,1361.9702116046158
1029,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-17 00:00:00.000000,-1008.0,-42.0,2023-12-08,960.0,10,1369.0363852910161
1025,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-17 00:00:00.000000,-1008.0,-42.0,2023-12-08,960.0,11,1375.4600936339004
1042,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-19 00:00:00.000000,-936.0,-39.0,2023-12-15,840.0,12,1381.350794868322
1041,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-19 00:00:00.000000,-960.0,-40.0,2023-12-15,840.0,13,1386.7919905001813
1033,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-20 00:00:00.000000,-936.0,-39.0,2023-12-09,1008.0,14,1391.8488572110289
1039,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-20 00:00:00.000000,-912.0,-38.0,2023-12-15,864.0,15,1396.5732605158591
1048,Sapphire,Cure Times.ShipCureDate,28,2024-02-28,2024-01-21 00:00:00.000000,-912.0,-38.0,2024-01-02,456.0,16,1401.0071602338987
1010,Sapphire,Cure Times.ShipCureDate,28,2024-01-23,2024-01-24 00:00:00.000000,24.0,1.0,2023-12-02,1272.0,17,1405.1849902679544
1008,Sapphire,Cure Times.ShipCureDate,28,2024-01-23,2024-01-24 00:00:00.000000,24.0,1.0,2023-12-01,1296.0,18,1409.135362823352
989,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2024-01-25 00:00:00.000000,168.0,7.0,2023-11-22,1536.0,19,1412.8823151320416
986,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2024-01-25 00:00:00.000000,168.0,7.0,2023-11-18,1632.0,20,1416.4462387415756
996,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2024-01-25 00:00:00.000000,168.0,7.0,2023-11-27,1416.0,21,1419.8445837853176
987,Sapphire,Cure Times.ShipCureDate,28,2024-01-18,2024-01-25 00:00:00.000000,168.0,7.0,2023-11-17,1656.0,22,1423.0924006835153
1004,Sapphire,Cure Times.ShipCureDate,28,2024-01-19,2024-01-26 00:00:00.000000,168.0,7.0,2023-11-30,1368.0,23,1426.202762379427
984,Sapphire,Cure Times.ShipCureDate,28,2024-01-19,2024-01-26 00:00:00.000000,168.0,7.0,2023-11-15,1728.0,24,1429.1870974327712
1014,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-12-02,1344.0,25,1432.0554556696204
1009,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-12-01,1368.0,26,1434.8167221599226
1013,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-12-02,1344.0,27,1437.4787911484739
1006,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-11-30,1392.0,28,1440.0487086208773
1002,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-11-29,1416.0,29,1442.5327900647633
1043,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-27 00:00:00.000000,-744.0,-31.0,2023-12-15,1032.0,30,1444.9367184380912
1005,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-01-27 00:00:00.000000,168.0,7.0,2023-11-30,1392.0,31,1447.2656262122832
1050,Sapphire,Cure Times.ShipCureDate,28,2024-02-27,2024-01-29 00:00:00.000000,-696.0,-29.0,2024-01-02,648.0,32,1449.5241645031126
1007,Sapphire,Cure Times.ShipCureDate,28,2024-01-22,2024-01-29 00:00:00.000000,168.0,7.0,2023-12-01,1416.0,33,1451.7165616569387
1018,Sapphire,Cure Times.ShipCureDate,28,2024-01-23,2024-01-30 00:00:00.000000,168.0,7.0,2023-12-06,1320.0,34,1453.8466731679077
1000,Sapphire,Cure Times.ShipCureDate,28,2024-01-23,2024-01-30 00:00:00.000000,168.0,7.0,2023-11-28,1512.0,35,1455.9180244233498
985,Sapphire,Cure Times.ShipCureDate,28,2024-01-25,2024-01-31 00:00:00.000000,144.0,6.0,2023-11-15,1848.0,36,1457.9338474810513
983,Sapphire,Cure Times.ShipCureDate,28,2024-01-22,2024-01-31 00:00:00.000000,216.0,9.0,2023-11-15,1848.0,37,1459.8971128525734
993,Sapphire,Cure Times.ShipCureDate,28,2024-01-22,2024-01-31 00:00:00.000000,216.0,9.0,2023-11-22,1680.0,38,1461.810557086004
1017,Sapphire,Cure Times.ShipCureDate,28,2024-01-22,2024-01-31 00:00:00.000000,216.0,9.0,2023-12-06,1344.0,39,1463.6767067981227
999,Sapphire,Cure Times.ShipCureDate,28,2024-01-25,2024-01-31 00:00:00.000000,144.0,6.0,2023-11-28,1536.0,40,1465.4978996914485
992,Sapphire,Cure Times.ShipCureDate,28,2024-01-26,2024-02-02 00:00:00.000000,168.0,7.0,2023-11-22,1728.0,41,1467.2763029996506
1015,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-02-03 00:00:00.000000,336.0,14.0,2023-12-02,1512.0,42,1469.0139297304393
991,Sapphire,Cure Times.ShipCureDate,28,2024-01-22,2024-02-05 00:00:00.000000,336.0,14.0,2023-11-22,1800.0,43,1470.7126530146193
1012,Sapphire,Cure Times.ShipCureDate,28,2024-02-06,2024-02-05 00:00:00.000000,-24.0,-1.0,2023-12-02,1560.0,44,1472.3742188206338
1001,Sapphire,Cure Times.ShipCureDate,28,2024-01-19,2024-02-06 00:00:00.000000,432.0,18.0,2023-11-29,1656.0,45,1474.0002572533622
998,Sapphire,Cure Times.ShipCureDate,28,2024-01-20,2024-02-06 00:00:00.000000,408.0,17.0,2023-11-27,1704.0,46,1475.5922926224953
994,Sapphire,Cure Times.ShipCureDate,28,2024-01-19,2024-02-06 00:00:00.000000,432.0,18.0,2023-11-27,1704.0,47,1477.1517524380877
1052,Sapphire,Cure Times.ShipCureDate,28,2024-03-27,2024-02-20 00:00:00.000000,-864.0,-36.0,2024-01-05,1104.0,48,1478.679975467795
1057,Sapphire,Cure Times.ShipCureDate,28,2024-03-27,2024-02-22 00:00:00.000000,-816.0,-34.0,2024-01-05,1152.0,49,1480.178218971019
1053,Sapphire,Cure Times.ShipCureDate,28,2024-04-03,2024-02-22 00:00:00.000000,-984.0,-41.0,2024-01-05,1152.0,50,1481.6476652089884
1061,Sapphire,Cure Times.ShipCureDate,28,2024-03-26,2024-02-22 00:00:00.000000,-792.0,-33.0,2024-01-05,1152.0,51,1483.0894273161603
1059,Sapphire,Cure Times.ShipCureDate,28,2024-03-27,2024-02-22 00:00:00.000000,-816.0,-34.0,2024-01-05,1152.0,52,1484.5045546067965
1066,Sapphire,Cure Times.ShipCureDate,28,2024-03-27,2024-02-24 00:00:00.000000,-768.0,-32.0,2024-02-05,456.0,53,1485.8940373807823
1071,Sapphire,Cure Times.ShipCureDate,28,2024-03-26,2024-02-26 00:00:00.000000,-696.0,-29.0,2024-02-05,504.0,54,1487.258811284425
1073,Sapphire,Cure Times.ShipCureDate,28,2024-03-27,2024-02-26 00:00:00.000000,-720.0,-30.0,2024-02-05,504.0,55,1488.599761274861
1075,Sapphire,Cure Times.ShipCureDate,28,2024-03-26,2024-02-29 00:00:00.000000,-624.0,-26.0,2024-02-05,576.0,56,1489.9177252305935
