Resource,ScheduleType,FirstShiftQty,SecondShiftQty,SplitShiftQty,24HourQty,,
Tech,Tech_ShiftType,Tech_FirstShiftQty,Tech_SecondShiftQty,Tech_SplitShiftQty,Tech_24HourQty,,Frameholder
Quality,Quality_ShiftType,Quality_FirstShiftQty,Quality_SecondShiftQty,Quality_SplitShiftQty,Quality_24HourQty,,Welder
Test,Test_ShiftType,Test_FirstShiftQty,Test_SecondShiftQty,Test_SplitShiftQty,Test_24HourQty,,Frameholder
Tech_F01,Tech_F01_ShiftType,Tech_F01_FirstShiftQty,Tech_F01_SecondShiftQty,Tech_F01_SplitShiftQty,Tech_F01_24HourQty,,Vevor Abrasion Tool
Tech_WC01,Tech_WC01_ShiftType,Tech_WC01_FirstShiftQty,Tech_WC01_SecondShiftQty,Tech_WC01_SplitShiftQty,Tech_WC01_24HourQty,,Mylar Porforator
Tech_WC02,Tech_WC02_ShiftType,Tech_WC02_FirstShiftQty,Tech_WC02_SecondShiftQty,Tech_WC02_SplitShiftQty,Tech_WC02_24HourQty,,Mixer
Tech_WC03,Tech_WC03_ShiftType,Tech_WC03_FirstShiftQty,Tech_WC03_SecondShiftQty,Tech_WC03_SplitShiftQty,Tech_WC03_24HourQty,,Vacuum T1-4
Tech_WC04,Tech_WC04_ShiftType,Tech_WC04_FirstShiftQty,Tech_WC04_SecondShiftQty,Tech_WC04_SplitShiftQty,Tech_WC04_24HourQty,,Vacuum T1-4
PHR06,PHR06_ShiftType,PHR06_FirstShiftQty,PHR06_SecondShiftQty,PHR06_SplitShiftQty,PHR06_24HourQty,,Vacuum T1-4
PHR07,PHR07_ShiftType,PHR07_FirstShiftQty,PHR07_SecondShiftQty,PHR07_SplitShiftQty,PHR07_24HourQty,,
PHR08,PHR08_ShiftType,PHR08_FirstShiftQty,PHR08_SecondShiftQty,PHR08_SplitShiftQty,PHR08_24HourQty,,
PHR09,PHR09_ShiftType,PHR09_FirstShiftQty,PHR09_SecondShiftQty,PHR09_SplitShiftQty,PHR09_24HourQty,,
PHR10,PHR10_ShiftType,PHR10_FirstShiftQty,PHR10_SecondShiftQty,PHR10_SplitShiftQty,PHR10_24HourQty,,
PHR11,PHR11_ShiftType,PHR11_FirstShiftQty,PHR11_SecondShiftQty,PHR11_SplitShiftQty,PHR11_24HourQty,,
PHR12,PHR12_ShiftType,PHR12_FirstShiftQty,PHR12_SecondShiftQty,PHR12_SplitShiftQty,PHR12_24HourQty,,
PHR13,PHR13_ShiftType,PHR13_FirstShiftQty,PHR13_SecondShiftQty,PHR13_SplitShiftQty,PHR13_24HourQty,,
PHR14,PHR14_ShiftType,PHR14_FirstShiftQty,PHR14_SecondShiftQty,PHR14_SplitShiftQty,PHR14_24HourQty,,
